Szam,Kerdes,V1,V2,V3,Kep,HelyesValasz
564,"Éjszaka egy olyan hajó felé közeledik, amelyrõl egy körkörösen mozgatott vörös fénnyel jeleznek. Mit jelent a hajóról leadott jelzés?",A jelzést leadó hajó ereszkedik.,"A jelzést egy köteles komp adja le, ezzel jelezve kifeszített vezetõ kötelét.","A jelzést leadó hajó veszélyben van, segítséget kér.",zzz-0028.jpg,3
565,"Egy olyan hajó felé közeledik, amelyrõl rövid idõközönként vörös csillagrakétákat, illetve rakétákat vagy lövedékeket lõnek fel. Mire következtet?","Feltehetõen a hajón szállított robbanóanyag felrobbant, a lehetõ legnagyobb távolságot tartok tõle.","A jelzést leadó hajó veszélyben van, segítséget kér.","Feltehetõen a térségben olyan rendezvényt tartanak, melynek során a hajóról petárdákat (tûzijáték eszközeit) lövik fel.",zzz-0029.jpg,2
566,"Egy olyan hajó felé közeledik, amelyrõl rövid idõközönként vörös csillagrakétákat, illetve rakétákat vagy lövedékeket lõnek fel. Mire következtet?","Feltehetõen a hajón szállított robbanóanyag felrobbant, a lehetõ legnagyobb távolságot tartok tõle.","A jelzést leadó hajó veszélyben van, segítséget kér.","Feltehetõen a térségben olyan rendezvényt tartanak, melynek során a hajóról petárdákat (tûzijáték eszközeit) lövik fel.",teszt-1473.jpg,2
567,"Ha hajójával veszélybe kerül, milyen jelzéssel, illetõleg jelzésekkel kérhet segítséget?","Rövid idõközönként vörös csillagrakéták, illetve rakéták vagy lövedékek fellövésével lehet segítséget kérni.",Egy fény függõleges irányú (felülrõl - lefelé) történõ mozgatásával lehet segítséget kérni.,"Fehér színû ejtõernyõs rakéta fellövésével, vagy kézilámpa lengetésével lehet segítséget kérni.",,1
568,"Egy olyan hajó felé közeledik, amelyen egy lobogó, alatta vagy felette pedig egy gömb, vagy hasonló tárgy van elhelyezve. Mit jeleznek a hajón látható jelzések? A jelzéseket viselõ hajó",mûveletképtelen.,"veszélyben van, segítséget kér.",nyílt helyen vesztegel.,zzz-0030.jpg,2
569,"Egy olyan hajó felé közeledik, amelyen egy lobogó, alatta vagy felette pedig egy gömb, vagy hasonló tárgy van elhelyezve. Mit jeleznek a hajón látható jelzések? A jelzéseket viselõ hajó",mûveletképtelen.,"veszélyben van, segítséget kér.",nyílt helyen vesztegel.,teszt-1480.jpg,2
570,"Egy olyan hajó felé közeledik, amelyrõl a morzeábécé szerinti ••• - - - ••• (SOS) jelek együttesébõl álló fényjelzéssel jeleznek. Mit jelent a hajóról leadott jelzés?","A jelzést leadó hajó veszélyben van, segítséget kér.",Egy hajó ilyen jelzést nem alkalmazhat.,A jelzést leadó hajó ereszkedik.,zzz-0031.jpg,1
571,"Egy olyan hajó felé közeledik, amelyrõl a morzeábécé szerinti ••• - - - ••• (SOS) jelek együttesébõl álló fényjelzéssel jeleznek. Mit jelent a hajóról leadott jelzés?","A jelzést leadó hajó veszélyben van, segítséget kér.",Egy hajó ilyen jelzést nem alkalmazhat.,A jelzést leadó hajó ereszkedik.,teszt-1484.jpg,1
572,"Egy olyan hajó felé közeledik, amelyen kátrány, olaj stb. égetésével keletkezõ lángot észlel. Mire következtet?","Feltételezhetõ, hogy a hajón keletkezett környezetre káros anyagokat égetéssel semmisítik meg.","Feltételezhetõ, hogy a hajón tûzriadó gyakorlatot tartanak.","A jelzést leadó hajó veszélyben van, segítséget kér.",zzz-0032.jpg,3
573,"Egy olyan hajó felé közeledik, amelyen kátrány, olaj stb. égetésével keletkezõ lángot észlel. Mire következtet?","Feltételezhetõ, hogy a hajón keletkezett környezetre káros anyagokat égetéssel semmisítik meg.","Feltételezhetõ, hogy a hajón tûzriadó gyakorlatot tartanak.","A jelzést leadó hajó veszélyben van, segítséget kér.",teszt-1489.jpg,3
574,"Ha hajójával veszélybe kerül, milyen jelzéssel, illetõleg jelzésekkel kérhet segítséget?",A morzeábécé szerinti - - - ••• - - - (OSO) jelek együttesébõl álló fényjelzéssel lehet segítséget kérni.,"Fehér színû ejtõernyõs rakéta fellövésével, vagy kézilámpa lengetésével lehet segítséget kérni.","Kátrány, olaj stb. égetésével keletkezõ lángjellel lehet segítséget kérni.",,3
575,"Egy olyan hajót észlel, amelyrõl vörös színû ejtõernyõs rakétát lõttek fel. Mire következtet?","Feltehetõen a térségben olyan rendezvényt tartanak, melynek során a hajóról petárdákat (tûzijáték eszközeit) lövik fel.","A jelzést leadó hajó veszélyben van, segítséget kér.",A térségben hadihajók gyakorlatoznak.,zzz-0033.jpg,2
576,"Egy olyan hajót észlel, amelyrõl vörös színû ejtõernyõs rakétát lõttek fel. Mire következtet?","A jelzést leadó hajó veszélyben van, segítséget kér.","Feltehetõen a térségben olyan rendezvényt tartanak, melynek során a hajóról petárdákat (tûzijáték eszközeit) lövik fel.",A térségben hadihajók gyakorlatoznak.,teszt-1497.jpg,1
577,"Egy olyan hajó felé közeledik, amelyen egy kinyújtott karjait lassan felülrõl lefelé mozgató (repülést utánzó) embert lát? Mit jelent a hajóról leadott jelzés? A jelzést leadó hajó","veszélyben van, segítséget kér.",ereszkedve hajózik.,"mögötti vízterületen zátonyra futott, vagy elsüllyedt hajó van.",,1
578,"Ha hajójával veszélybe kerül, milyen jelzéssel, illetõleg jelzésekkel kérhet segítséget?","Fehér színû ejtõernyõs rakéta fellövésével, vagy kézilámpa lengetésével lehet segítséget kérni.",Egy fény függõleges irányú (felülrõl - lefelé) történõ mozgatásával lehet segítséget kérni.,A kinyújtott karok lassan felülrõl lefelé történõ (repülést utánzó) mozgatásával lehet segítséget kérni.,,3
579,Milyen vízi jármû jelzése az ábrán látható lobogó? Az U jelû kódlobogó,"szervezett, csoportosan haladó és 10-nél több evezõs vízi jármû részvételével zajló vízi túra túravezetõjének vízi jármûvét jelöli.",10-nél több vízi jármû részvételével zajló verseny zsûri hajóját jelöli.,búvármunkák végzéséhez használt vízi jármûvet jelöl.,zzz-0053.jpg,1
580,Milyen vízi jármû jelzése az ábrán látható lobogó? Az U jelû kódlobogó,"szervezett, csoportosan haladó és 10-nél több evezõs vízi jármû részvételével zajló vízi túra túravezetõjének vízi jármûvét jelöli.",10-nél több vízi jármû részvételével zajló verseny zsûri hajóját jelöli.,búvármunkák végzéséhez használt vízi jármûvet jelöl.,xxx-1875.jpg,1
581,"Válassza ki, hogy nappal milyen jelzéssel jelölik azt a munkát végzõ úszómunkagépet, amely mellett egyik oldalon szabad, míg a másik oldalon nem szabad a hajóút?","Egy vörös gömb azon az oldalon, amely felõl nem a szabad a hajóút és egymás felett két zöld gömb azon az oldalon, amely felõl szabad a hajóút.","Egy vörös gömb azon az oldalon, amely felõl nem a szabad a hajóút és egymás felett két zöld kettõskúp azon az oldalon, amely felõl szabad a hajóút.","Egy zöld gömb azon az oldalon, amely felõl szabad a hajóút és egymás felett két vörös kettõskúp azon az oldalon, amely felõl nem szabad a hajóút.",teszt-0065.jpg,2
582,"Milyen úszólétesítmény jelenlétére számít, ha annak mindkét oldalán két-két zöld kettõs kúpot lát egymás fölött? Hogyan hajózik el mellette?","Munkát végzõ úszómunkagép, amely mellett minkét oldalon szabad az elhajózás.","Halászattal foglalkozó hajó, amelynek halászeszközei 150 m-nél távolabb nyúlnak oldalától és ezeket kikerülve szabad csak az elhajózás bármelyik oldal felõl.","Aknamentesítéssel foglalkozó hajó, bármelyik oldala felõl, de 50 m távolságon túl lehet csak mellette elhajózni.",zzz-0165.jpg,1
583,Milyen úszólétesítményt jelölhetnek a képen látható jelzések? Hogyan hajózik el mellette?,"Munkát végzõ úszómunkagép vagy mélységmérést vagy hidrográfiai, illetve egyéb munkát végzõ veszteglõ hajó, a zöld-fehér-zöld tábla felõl szabad a hajóút.","Veszteglõ, hullámzás elleni védelemre szoruló úszómunkagép, a zöld-fehér-zöld tábla felõl szabad a hajóút.","Mélységmérést vagy hidrográfiai, illetve egyéb munkát végzõ menetben lévõ hajó, a zöld-fehér-zöld tábla felõl szabad a hajóút.",xxx-2238.jpg,1
584,"Milyen jelzéssel kell jelölni azt a hullámzás elleni védelemre szoruló munkát végzõ úszómunkagépet, amely mellett egyik oldalon szabad, míg a másik oldalon nem szabad a hajóút? A szabad oldalán","vörös-fehér-vörös vízszintes sávozású táblával, a szabad oldalon egy zöld-fehér-zöld függõleges sávozású táblával.","egy zöld lobogóval/táblával, a nem szabad oldalon egy vörös lobogóval/táblával.","egy felül vörös alul fehér lobogóval/táblával, a nem szabad oldalon egy vörös lobogóval/táblával.",teszt-0078.jpg,3
585,Milyen úszólétesítményt jelölhetnek az ábrán látható jelzések? Hogyan hajózik el mellette?,"Hullámzás elleni védelemre szoruló munkát végzõ úszómunkagép, a felül vörös alatta fehér lobogó/tábla felõl szabad a hajóút.","Munkát végzõ úszómunkagép, a felül vörös alatta fehér lobogó/tábla felõl szabad a hajóút.","Mûveletképességében korlátozott, menetben lévõ hajó, a felül vörös alatta fehér lobogó/tábla felõl szabad a hajóút.",zzz-0167.jpg,1
586,"Milyen helyzetre következtet, ha az ábrán látható jelzéseket észleli? Hogyan hajózik el a jelzések mellett? A jelzések egy",halászati tevékenységet végzõ hajó kihelyezett hálóit jelölik. Az elhajózás a vörös fénnyel jelzett oldalon lehetséges.,aknamentesítéssel foglalkozó hajó mûveleti területét jelölik. Az elhajózás a vörös-fehér fénnyel jelzett oldalon lehetséges.,fennakadt/elsüllyedt hajót jelölnek. Az elhajózás a vörös-fehér fénnyel jelzett oldalon lehetséges.,xxx-3720.jpg,3
587,"Milyen helyzetre következtet, ha az ábrán látható jelzéseket észleli? Hogyan hajózik el a jelzések mellette? A jelzések egy",halászati tevékenységet végzõ hajó kihelyezett hálóit jelölik. Az elhajózás a vörös fénnyel jelzett oldalon lehetséges.,aknamentesítéssel foglalkozó hajó mûveleti területét jelölik. Az elhajózás a vörös-fehér fénnyel jelzett oldalon lehetséges.,fennakadt/elsüllyedt hajót jelölnek. Az elhajózás a vörös-fehér fénnyel jelzett oldalon lehetséges.,xxx-3719.jpg,3
588,Milyen úszólétesítmény jelenlétére következtet a rajta látható fények alapján? Hogyan hajózik el a jelzések mellette?,"Munkát végzõ úszómunkagép, az elhajózás a zöld fények oldalán lehetséges.",Áthaladási elsõbbséget élvezõ komp bal oldalát mutatva halad.,"Fennakadt hajó van a hajóútban, az elhajózás a zöld fények oldalán lehetséges.",teszt-0060.jpg,1
589,"Milyen úszólétesítmény jelenlétére következtet, ha az ábrán látható jelzéseket észleli? Hogyan hajózik el mellette? Csökkentett sebességgel, mivel","hullámzás elleni védelemre szoruló munkát végzõ úszómunkagép, a felül vörös alatta fehér fény felõl szabad a hajóút.",áthaladási elsõbbséget élvezõ komp bal oldalát mutatva halad. Az elhajózás a vörös fény felõli oldalán lehetséges.,"mûveletképességében korlátozott, menetben lévõ hajó, a felül vörös alatta fény felõl szabad a hajóút.",zzz-0168.jpg,1
590,"Milyen úszólétesítmény jelenlétére következtet, ha az ábrán látható jelzéseket észleli? Hogyan hajózik el mellette?","Hullámzás elleni védelemre szoruló munkát végzõ úszómunkagép, a felül vörös alatta fehér fény felõl szabad a hajóút.",Áthaladási elsõbbséget élvezõ komp bal oldalát mutatva halad. Az elhajózás a vörös fény felõli oldalán lehetséges.,"Mûveletképességében korlátozott, menetben lévõ hajó, a felül vörös alatta fény felõl szabad a hajóút.",teszt-0081.jpg,1
591,Mit jelölnek az ábrán látható fények? A fények,egy hullámzás elleni védelemre szoruló úszómunkagépek jelölnek.,"olyan úszómunkagépet jelölnek, amelynek horgonya, kötele, horgonylánca úgy van kihelyezve, hogy az a hajózást veszélyeztetheti.",egy ereszkedõ úszólétesítményt jelölnek.,xxx-0055.jpg,2
592,Mit jelölnek az ábrán látható fények? A fények,"olyan úszómunkagépet jelölnek, amelynek horgonya, kötele, horgonylánca úgy van kihelyezve, hogy az a hajózást veszélyeztetheti.","olyan hullámzás elleni védelemre szoruló úszómunkagépet jelölnek, amelynek horgonya, kötele, horgonylánca úgy van kihelyezve, hogy az a hajózást veszélyeztetheti.",egy ereszkedõ úszólétesítményt jelölnek.,xxx-0054.jpg,2
593,Mit értünk a hosszú hang alatt a víziközlekedésben?,Pontosan 10 másodperc idõtartamú hang.,Kb. 4 másodperc idõtartamú hang.,A nem több mint 2 másodperc idõtartamú hang.,,2
594,Mit értünk a rövid hang alatt a víziközlekedésben?,Kb. 1 másodperc idõtartamú hang.,Pontosan 4 másodperc idõtartamú hang.,Nem kevesebb mint 2 másodperc idõtartamú hang.,,1
595,Folytassa a meghatározást Két egymást követõ hang között (kivéve a nagyon rövid hangsorozatot),kb. 1 másodperces szünetet kell tartani.,"nem kevesebb, mint 3 másodperces szünetet kell tartani.",kb. 2 másodperces szünetet kell tartani.,,1
596,Folytassa a meghatározást Nagyon rövid hangsorozat a,"legalább öt, egyenként 1/4 másodperc idõtartamú, kb. 1/4 másodperc idõtartamú szünettel elválasztott hangból álló sorozat.","legalább hat, egyenként nem kevesebb mint 1/2 másodperc idõtartamú és nem kevesebb mint 1/2 másodperc idõtartamú szünettel elválasztott hangból álló sorozat.","legalább hat, egyenként 1/4 másodperc idõtartamú, kb. 1/4 másodperc idõtartamú szünettel elválasztott hangból álló sorozat.",,3
597,"Folytassa a meghatározást! Háromtónusú hangjelzés olyan három, egymást követõ, különbözõ magasságú,","összesen nem kevesebb mint 5 másodperc idõtartamú, háromszor ismétlõdõ jelzés, amely sorozatoknak a legmélyebb hangon kell kezdõdnie és a legmagasabb hangon kell befejezõdnie.","összesen kb. 2 másodperc idõtartamú, háromszor ismétlõdõ jelzés, amely sorozatoknak a legmagasabb hangon kell kezdõdnie és a legmélyebb hangon kell befejezõdnie.","összesen kb. 2 másodperc idõtartamú, háromszor ismétlõdõ jelzés, amely sorozatoknak a legmélyebb hangon kell kezdõdnie és a legmagasabb hangon kell befejezõdnie.",,3
598,Mit értünk harangkongatás alatt a víziközlekedésben?,Egy kettõs harangütés.,Egy harangütés.,"A segítséget kérõ, veszélyben lévõ hajó által leadott hangjelzés.",,1
599,"Ha a Szabályzat harangütéstõl eltérõ hangjelzést ír elõ vagy hangjelzés alkalmazását teszi lehetõvé, akkor azt milyen módon kell leadni egy kishajón?",Szócsõvel vagy kiáltással lehet hangjelzést leadni.,Síppal lehet hangjelzést leadni.,Dudával vagy kürttel lehet hangjelzést leadni.,,3
600,Milyen jelzéssel együtt észlelhetõ kishajónak nem tekinthetõ géphajón a gépi üzemû (mechanikus) hangjelzõ készülékkel leadott hangjelzés? A hangjelzés hangjeleit idõben és idõtartamban szinkronizált,minden oldalról látható sárga fényjelek kísérik.,"elölrõl, ha lehet hátulról is látható sárga fényjelek kísérik.",minden oldalról látható fehér fényjelek kísérik.,,1
